-45,-45,4.927926,-3.111701,-6.190801,0.840035,-6.758626,0.036023,-5.965659,-0.49668,-0.550748,-0.760602,-0.500362,-0.445401,-0.678123,-1.049883,-0.370873,-0.473024
-45,-40,4.934156,-2.602182,-5.929431,1.733959,-6.420534,-0.264439,-5.972496,-0.500014,-0.550748,-0.760602,-0.500362,-0.448494,-0.678123,-1.046561,-0.370873,-0.469849
-45,-35,4.934156,-2.192748,-5.686297,2.526446,-6.15972,-0.714964,-5.910959,-0.49668,-0.550748,-0.757032,-0.500362,-0.445401,-0.678123,-1.049883,-0.370873,-0.473024
-45,-30,4.943501,-1.871266,-5.470516,3.173114,-5.982624,-1.188343,-5.791304,-0.49668,-0.550748,-0.760602,-0.500362,-0.448494,-0.678123,-1.049883,-0.373938,-0.469849
-45,-25,4.952846,-1.601343,-5.333753,3.692985,-5.844167,-1.658456,-5.555413,-0.49668,-0.550748,-0.760602,-0.50359,-0.445401,-0.678123,-1.046561,-0.370873,-0.469849
-45,-20,4.949731,-1.389044,-5.300322,4.092398,-5.583353,-2.135099,-5.199867,-0.49668,-0.550748,-0.760602,-0.50359,-0.445401,-0.67494,-1.046561,-0.370873,-0.469849
-45,-15,4.949731,-1.201007,-5.318557,4.409392,-5.448116,-2.63786,-4.745177,-0.49668,-0.550748,-0.760602,-0.500362,-0.445401,-0.678123,-1.046561,-0.370873,-0.469849
-45,-10,4.934156,-1.055431,-5.339831,4.615438,-5.229161,-3.107974,-4.252882,-0.49668,-0.550748,-0.760602,-0.500362,-0.448494,-0.67494,-1.049883,-0.373938,-0.473024
-45,-5,4.943501,-0.95838,-5.41581,4.739066,-4.990887,-3.571558,-3.794775,-0.49668,-0.550748,-0.760602,-0.500362,-0.445401,-0.67494,-1.046561,-0.370873,-0.469849
-45,0,4.962191,-0.91592,-5.485712,4.789785,-5.035965,-4.048201,-3.281967,-0.49668,-0.547636,-0.760602,-0.500362,-0.445401,-0.67494,-1.046561,-0.370873,-0.473024
