"34765",86218.66,22.25,2.18,-9.98,-2.4,3.25408,3.57179,0.52841,-0.224785,6.48579
"34766",86218.66,22.25,1.93,-7.96,-3.4,3.38966,3.7206,0.509567,-0.324285,7.03748
"34767",86226.55,22.25,2.51,-6.58,-3.9,2.97277,3.26287,0.41528,-0.296116,5.41289
"34768",86218.66,22.25,2.56,-6.79,-3.7,2.96096,3.25006,0.417922,-0.280312,5.36998
"34769",86218.66,22.25,3.32,-5.3,-0.6,2.6072,2.86175,0.302117,-0.0400568,4.16347
"34770",86218.66,22.25,4.43,-4.68,2.6,2.89887,3.1819,0.217019,0.127069,5.14712
"34771",86218.66,22.25,5.4,-8.48,3.4,3.39122,3.72232,0.29847,0.135803,7.04397
"34772",86226.55,22.31,4.24,-7.44,4.6,3.21148,3.52523,0.32339,0.222004,6.31709
"34773",86226.55,22.31,4.94,-6.58,4.4,3.2283,3.54368,0.262938,0.186871,6.38341
"34774",86226.55,22.31,4.16,-8.2,0.9,3.04882,3.34668,0.350018,0.0479009,5.69338
"34775",86218.66,22.31,5.73,-8.24,4.5,3.48502,3.82567,0.279234,0.166771,7.43904
"34776",86218.66,22.31,8.39,-8.2,3.4,3.92005,4.30321,0.20287,0.0889203,9.41214
"34777",86218.66,22.31,7.45,-8.96,2.3,3.75918,4.12663,0.242044,0.0680982,8.65552
"34778",86234.44,22.31,5.48,-10.02,1.6,3.45101,3.78798,0.33277,0.0644524,7.29454
"34779",86234.44,22.31,4.77,-5.01,1.7,2.96925,3.25919,0.21594,0.0784228,5.40009
"34780",86226.55,22.31,6.24,-5.08,1.5,3.31403,3.63779,0.172325,0.0531765,6.72695
"34781",86226.55,22.31,6.41,-7.1,1.9,3.45288,3.79021,0.225945,0.0654188,7.30247
"34782",86218.66,22.31,5.39,-7.55,0.3,3.24555,3.56278,0.273584,0.0123651,6.45181
"34783",86218.66,22.31,8.71,-7.74,0.3,3.92615,4.30991,0.186484,0.00765314,9.44145
"34784",86226.55,22.31,5.2,-7.48,-2.9,3.26196,3.58064,0.279296,-0.121038,6.51725
"34785",86226.55,22.31,9.13,-8.12,-1.7,4.02783,4.42133,0.186624,-0.0412653,9.93687
"34786",86226.55,22.31,7.18,-8.93,-2.8,3.7185,4.08178,0.248802,-0.0856478,8.46921
"34787",86226.55,22.31,5.09,-8.12,-1.2,3.23262,3.54843,0.301965,-0.0521614,6.40052
"34788",86226.55,22.31,7.41,-7.89,2.6,3.705,4.06696,0.21848,0.0772339,8.40779
"34789",86218.66,22.31,7.91,-5.8,0.6,3.6974,4.0588,0.156567,0.0168478,8.37333
"34790",86226.55,22.31,8.24,-6.15,2.2,3.79158,4.16199,0.159152,0.0590004,8.80533
"34791",86234.44,22.31,9.5,-5.39,2.4,4.02126,4.41391,0.12304,0.0558627,9.90444
"34792",86226.55,22.31,7.23,-7.29,-0.7,3.61628,3.96957,0.208454,-0.0214991,8.00994
"34793",86226.55,22.31,9.58,-6.82,0,4.06147,4.45826,0.152343,-1.11022e-16,10.1035
"34794",86218.66,22.31,9.25,-5.58,1,3.9649,4.35245,0.13042,0.0240007,9.62875
"34795",86226.55,22.31,10.13,-5.08,0,4.12237,4.5251,0.109319,-1.11022e-16,10.4088
"34796",86226.55,22.31,8.52,-7.89,0.9,3.89768,4.27847,0.193457,0.0234524,9.30505
"34797",86226.55,22.31,7.89,-8.77,2.4,3.83331,4.20781,0.226615,0.0671098,9.00025
"34798",86226.55,22.31,7.76,-5.08,0.1,3.64111,3.99683,0.140874,0.00286347,8.12035
"34799",86226.55,22.31,8.99,-5.65,-2.7,3.93241,4.31658,0.135568,-0.0662722,9.4716
"34800",86226.55,22.31,8.97,-6.75,-0.3,3.94185,4.32695,0.160365,-0.0074314,9.51715
"34801",86226.55,22.31,10.49,-3.59,1.2,4.16812,4.57533,0.0753634,0.0253937,10.6411
"34802",86226.55,22.31,11.77,-2.83,0.3,4.39781,4.82745,0.0531891,0.00566368,11.8462
"34803",86226.55,22.31,9.82,-3.9,-2.2,4.05003,4.44569,0.0871856,-0.0495899,10.0467
"34804",86226.55,22.31,11.11,-4.99,-2.8,4.3212,4.74336,0.0982778,-0.0557297,11.4371
"34805",86226.55,22.31,9.83,-6.08,-1.6,4.09467,4.4947,0.133543,-0.0360946,10.2694
"34806",86226.55,22.31,9.77,-5.49,-0.8,4.06358,4.46057,0.121914,-0.0181858,10.114
"34807",86218.66,22.31,9.64,-5.56,-1,4.04091,4.43589,0.124983,-0.0230316,10.0015
"34808",86226.55,22.31,7.82,-6.79,-1.2,3.71877,4.08207,0.182657,-0.0340372,8.4704
"34809",86226.55,22.31,9.03,-4.7,-1.3,3.90065,4.28172,0.1133,-0.0319386,9.31921
