86226.55,22.19,1.61,-8.03,0.1
86226.55,22.19,4.12,-7.48,1
86226.55,22.19,3.97,-7.03,1.2
86226.55,22.19,1.73,-6.08,1.2
86234.44,22.19,2.51,-6.91,0.1
86226.55,22.19,3.24,-7.01,0.6
86226.55,22.19,5.3,-6.86,0.8
86226.55,22.19,2.03,-6.67,1.3
86226.55,22.19,-0.88,-7.22,1.6
86218.66,22.19,-0.12,-7.13,1.9
86218.66,22.19,1.47,-6.65,1.8
86226.55,22.19,3.87,-7.01,2
86218.66,22.19,3.95,-6.58,2
86226.55,22.19,3.01,-7.48,0.3
86226.55,22.19,3.95,-6.48,1.1
86218.66,22.19,0.87,-7.17,1.9
86218.66,22.19,2.86,-6.25,0.9
86218.66,22.19,3.13,-6.89,0.2
86218.66,22.19,1,-7.27,0.4
86226.55,22.19,3.5,-5.7,1
86218.66,22.19,3,-5.11,0.1
86218.66,22.19,3.64,-7.01,-0.3
86218.66,22.19,2.03,-6.44,-1.1
86218.66,22.19,1.57,-5.08,-1.7
86218.66,22.19,3.9,-4.66,-0.8
86218.66,22.19,4.96,-4.28,0.7
86218.66,22.19,2.96,-5.99,1.7
86218.66,22.19,3.14,-7.53,1.3
86218.66,22.19,3.91,-7.65,0.5
86226.55,22.19,0.6,-7.55,0.2
86218.66,22.25,2.7,-6.53,1.6
86218.66,22.25,2.66,-9.15,0.9
86218.66,22.25,0.24,-6.51,-1.4
86218.66,22.25,1.25,-4.8,-0.1
86210.77,22.25,1.56,-5.91,0.4
86218.66,22.25,4.7,-5.82,2.4
86226.55,22.25,3.06,-5.56,1.1
86234.44,22.25,6.25,-6.13,1.5
86226.55,22.25,3.58,-7.01,1.8
86218.66,22.25,5.6,-6.79,1.8
86226.55,22.25,1.44,-5.04,2.1
86226.55,22.25,4.58,-7.1,2.4
86226.55,22.25,2.04,-7.65,0.8
86226.55,22.25,5.83,-5.87,1
86218.66,22.25,0.95,-7.82,0.6
86226.55,22.25,2.24,-6.63,2.8
86218.66,22.25,1.18,-8.96,1.8
86218.66,22.25,4.4,-6.77,2.8
86218.66,22.25,3.29,-6.41,1
86210.77,22.25,2.89,-7.2,0.8
86218.66,22.25,4.97,-7.82,-0.5
86226.55,22.25,2.25,-8.93,-2.5
86226.55,22.25,3.27,-7.25,0.4
86226.55,22.25,2.61,-8.86,-0.3
86218.66,22.25,2.18,-9.98,-2.4
86218.66,22.25,1.93,-7.96,-3.4
86226.55,22.25,2.51,-6.58,-3.9
86218.66,22.25,2.56,-6.79,-3.7
86218.66,22.25,3.32,-5.3,-0.6
86218.66,22.25,4.43,-4.68,2.6
86218.66,22.25,5.4,-8.48,3.4
86226.55,22.31,4.24,-7.44,4.6
86226.55,22.31,4.94,-6.58,4.4
86226.55,22.31,4.16,-8.2,0.9
86218.66,22.31,5.73,-8.24,4.5
86218.66,22.31,8.39,-8.2,3.4
86218.66,22.31,7.45,-8.96,2.3
86234.44,22.31,5.48,-10.02,1.6
86234.44,22.31,4.77,-5.01,1.7
86226.55,22.31,6.24,-5.08,1.5
86226.55,22.31,6.41,-7.1,1.9
86218.66,22.31,5.39,-7.55,0.3
86218.66,22.31,8.71,-7.74,0.3
86226.55,22.31,5.2,-7.48,-2.9
86226.55,22.31,9.13,-8.12,-1.7
86226.55,22.31,7.18,-8.93,-2.8
86226.55,22.31,5.09,-8.12,-1.2
86226.55,22.31,7.41,-7.89,2.6
86218.66,22.31,7.91,-5.8,0.6
86226.55,22.31,8.24,-6.15,2.2
86234.44,22.31,9.5,-5.39,2.4
86226.55,22.31,7.23,-7.29,-0.7
86226.55,22.31,9.58,-6.82,0
86218.66,22.31,9.25,-5.58,1
86226.55,22.31,10.13,-5.08,0
86226.55,22.31,8.52,-7.89,0.9
86226.55,22.31,7.89,-8.77,2.4
86226.55,22.31,7.76,-5.08,0.1
86226.55,22.31,8.99,-5.65,-2.7
86226.55,22.31,8.97,-6.75,-0.3
86226.55,22.31,10.49,-3.59,1.2
86226.55,22.31,11.77,-2.83,0.3
86226.55,22.31,9.82,-3.9,-2.2
86226.55,22.31,11.11,-4.99,-2.8
86226.55,22.31,9.83,-6.08,-1.6
86226.55,22.31,9.77,-5.49,-0.8
86218.66,22.31,9.64,-5.56,-1
86226.55,22.31,7.82,-6.79,-1.2
86226.55,22.31,9.03,-4.7,-1.3
86226.55,22.31,10.13,-4.92,-1.4
86218.66,22.31,8.93,-5.46,-1.7
86226.55,22.38,10.28,-5.34,-0.3
86226.55,22.38,11.65,-5.18,3.4
86226.55,22.38,9.59,-5.96,0.6
86226.55,22.38,10.98,-6.29,1.7
86218.66,22.38,11.92,-6.25,3
86218.66,22.38,12.49,-6.65,4.5
86226.55,22.38,10.96,-4.82,3.4
86226.55,22.38,12.85,-6.65,0.2
86226.55,22.38,14.05,-8.08,1.7
86226.55,22.38,12.73,-7.27,3.5
86226.55,22.38,11.92,-6.29,1.4
86226.55,22.38,13.36,-4.87,1
